DEPTH,AC,ACS,BS,CALI,DEN,DENC,GR,NEU,PEF,RDEP,RMED,ed_vae,der_vae,poi,percentile,labels
m,us/ft,us/ft,in,in,g/cm3,g/cm3,gAPI,m,,ohm.m,ohm.m,,,,,
183.3,,,,,,,,,,,,,,,,0.0
183.4,,,,,,,,,,,,,,,,0.0
183.5,,,,,,,,,,,,,,,,0.0
183.6,,,,,,,,,,,,,,,,0.0
183.7,,,,,,,,,,,,,,,,0.0
183.8,,,,,,,,,,,,,,,,0.0
183.9,,,,,,,,,,,,,,,,0.0
184.0,,,,,,,,,,,,,,,,0.0
184.1,,,,,,,,,,,,,,,,0.0
184.2,,,,,,,,,,,,,,,,0.0
184.3,,,,,,,,,,,,,,,,0.0
184.4,,,,,,,,,,,,,,,,0.0
184.5,,,,,,,,,,,,,,,,0.0
184.6,,,,,,,,,,,,,,,,0.0
184.7,,,,,,,,,,,,,,,,0.0
184.8,,,,,,,,,,,,,,,,0.0
184.9,,,,,,,,,,,,,,,,0.0
185.0,,,,,,,,,,,,,,,,0.0
185.1,,,,,,,,,,,,,,,,0.0
185.2,,,,,,,,,,,,,,,,0.0
185.3,,,,,,,,,,,,,,,,0.0
185.4,,,,,,,,,,,,,,,,0.0
185.5,,,,,,,,,,,,,,,,0.0
185.6,,,,,,,,,,,,,,,,0.0
185.7,,,,,,,,,,,,,,,,0.0
185.8,,,,,,,,,,,,,,,,0.0
185.9,,,,,,,,,,,,,,,,0.0
186.0,,,,,,,,,,,,,,,,0.0
186.1,,,,,,,,,,,,,,,,0.0
186.2,,,,,,,,,,,,,,,,0.0
186.3,,,,,,,,,,,,,,,,0.0
186.4,,,,,,,,,,,,,,,,0.0
186.5,,,,,,,,,,,,,,,,0.0
186.6,,,,,,,,,,,,,,,,0.0
186.7,,,,,,,,,,,,,,,,0.0
186.8,,,,,,,,,,,,,,,,0.0
186.9,,,,,,,,,,,,,,,,0.0
187.0,,,,,,,,,,,,,,,,0.0
187.1,,,,,,,,,,,,,,,,0.0
187.2,,,,,,,,,,,,,,,,0.0
187.3,,,,,,,,,,,,,,,,0.0
187.4,,,,,,,,,,,,,,,,0.0
187.5,,,,,,,,,,,,,,,,0.0
187.6,,,,,,,,,,,,,,,,0.0
187.7,,,,,,,,,,,,,,,,0.0
187.8,,,,,,,,,,,,,,,,0.0
187.9,,,,,,,,,,,,,,,,0.0
188.0,,,,,,,,,,,,,,,,0.0
188.1,,,,,,,,,,,,,,,,0.0
188.2,,,,,,,,,,,,,,,,0.0
188.3,,,,,,,,,,,,,,,,0.0
188.4,,,,,,,,,,,,,,,,0.0
188.5,,,36.0,,,,4.3,,,,,,,,,0.0
188.6,,,36.0,,,,3.8,,,,,,,,,0.0
188.7,,,36.0,,,,4.3,,,,,,,,,0.0
188.8,,,36.0,,,,4.6,,,,,,,,,0.0
188.9,,,36.0,,,,4.6,,,,,,,,,0.0
189.0,,,36.0,,,,4.3,,,,,,,,,0.0
189.1,,,36.0,,,,3.8,,,,,,,,,0.0
189.2,,,36.0,,,,4.1,,,,,,,,,0.0
189.3,,,36.0,,,,4.3,,,,,,,,,0.0
189.4,,,36.0,,,,5.2,,,,,,,,,0.0
189.5,,,36.0,,,,5.7,,,,,,,,,0.0
189.6,,,36.0,,,,5.3,,,,,,,,,0.0
189.7,,,36.0,,,,4.6,,,,,,,,,0.0
189.8,,,36.0,,,,3.5,,,,,,,,,0.0
189.9,,,36.0,,,,4.5,,,,,,,,,0.0
190.0,,,36.0,,,,5.1,,,,,,,,,0.0
190.1,,,36.0,,,,4.1,,,,,,,,,0.0
190.2,,,36.0,,,,4.0,,,,,,,,,0.0
190.3,,,36.0,,,,5.1,,,,,,,,,0.0
190.4,,,36.0,,,,5.7,,,,,,,,,0.0
190.5,,,36.0,,,,,,,,,,,,,0.0
